SA_step,Energy,Energy_Error,Mu,Sigma
316,-0.462381,0.0439322,0.774481,0.635772
317,-0.462381,0.0439322,0.774481,0.635772
318,-0.462381,0.0439322,0.774481,0.635772
319,-0.462381,0.0439322,0.774481,0.635772
320,-0.462381,0.0439322,0.774481,0.635772
321,-0.462381,0.0439322,0.774481,0.635772
322,-0.462381,0.0439322,0.774481,0.635772
323,-0.462381,0.0439322,0.774481,0.635772
324,-0.462381,0.0439322,0.774481,0.635772
325,-0.462381,0.0439322,0.774481,0.635772
326,-0.462381,0.0439322,0.774481,0.635772
327,-0.462381,0.0439322,0.774481,0.635772
328,-0.462381,0.0439322,0.774481,0.635772
329,-0.462381,0.0439322,0.774481,0.635772
330,-0.462381,0.0439322,0.774481,0.635772
331,-0.462381,0.0439322,0.774481,0.635772
332,-0.462381,0.0439322,0.774481,0.635772
333,-0.462381,0.0439322,0.774481,0.635772
334,-0.462381,0.0439322,0.774481,0.635772
335,-0.462381,0.0439322,0.774481,0.635772
336,-0.462381,0.0439322,0.774481,0.635772
337,-0.462381,0.0439322,0.774481,0.635772
338,-0.462381,0.0439322,0.774481,0.635772
339,-0.462381,0.0439322,0.774481,0.635772
340,-0.462381,0.0439322,0.774481,0.635772
341,-0.462381,0.0439322,0.774481,0.635772
342,-0.462381,0.0439322,0.774481,0.635772
343,-0.462381,0.0439322,0.774481,0.635772
344,-0.462381,0.0439322,0.774481,0.635772
345,-0.462381,0.0439322,0.774481,0.635772
346,-0.462381,0.0439322,0.774481,0.635772
347,-0.462381,0.0439322,0.774481,0.635772
348,-0.462381,0.0439322,0.774481,0.635772
349,-0.462381,0.0439322,0.774481,0.635772
350,-0.462381,0.0439322,0.774481,0.635772
351,-0.462381,0.0439322,0.774481,0.635772
352,-0.462381,0.0439322,0.774481,0.635772
353,-0.462381,0.0439322,0.774481,0.635772
354,-0.462381,0.0439322,0.774481,0.635772
355,-0.462381,0.0439322,0.774481,0.635772
356,-0.462381,0.0439322,0.774481,0.635772
357,-0.462381,0.0439322,0.774481,0.635772
358,-0.462381,0.0439322,0.774481,0.635772
359,-0.462381,0.0439322,0.774481,0.635772
360,-0.462381,0.0439322,0.774481,0.635772
361,-0.462381,0.0439322,0.774481,0.635772
362,-0.462381,0.0439322,0.774481,0.635772
363,-0.462381,0.0439322,0.774481,0.635772
364,-0.462381,0.0439322,0.774481,0.635772
365,-0.462381,0.0439322,0.774481,0.635772
366,-0.462381,0.0439322,0.774481,0.635772
367,-0.462381,0.0439322,0.774481,0.635772
368,-0.462381,0.0439322,0.774481,0.635772
369,-0.462381,0.0439322,0.774481,0.635772
370,-0.462381,0.0439322,0.774481,0.635772
371,-0.462381,0.0439322,0.774481,0.635772
372,-0.462381,0.0439322,0.774481,0.635772
373,-0.462381,0.0439322,0.774481,0.635772
374,-0.462381,0.0439322,0.774481,0.635772
375,-0.462381,0.0439322,0.774481,0.635772
376,-0.465462,0.0442524,0.789951,0.641416
377,-0.465462,0.0442524,0.789951,0.641416
378,-0.465462,0.0442524,0.789951,0.641416
379,-0.465462,0.0442524,0.789951,0.641416
380,-0.465462,0.0442524,0.789951,0.641416
381,-0.465462,0.0442524,0.789951,0.641416
382,-0.465462,0.0442524,0.789951,0.641416
383,-0.465462,0.0442524,0.789951,0.641416
384,-0.465462,0.0442524,0.789951,0.641416
385,-0.465462,0.0442524,0.789951,0.641416
386,-0.465462,0.0442524,0.789951,0.641416
387,-0.465462,0.0442524,0.789951,0.641416
388,-0.465462,0.0442524,0.789951,0.641416
389,-0.465462,0.0442524,0.789951,0.641416
